Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,83 Mbps
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,,,,2,,,19,,,,,,,85,,145,,,,194,,,,299,,177,,,3.965,,,,415,,,,595,,,,,,166,,,,,96,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,12,
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,,,,,,,,,,,,,,,,,,,,46,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Del Valle,6854020,,,,1,,,,,,,,,,181,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Ernestina,6854030,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,,,,,,,,,,,106,,,3,,,56,,7,3,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,,,,,,,,,,,161,,,38,,,15,,15,876,,,,,,1,,,,,,,141,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Pedernales,6854070,,,,,,,,,,,,,,395,,,173,,,2,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,San Enrique,6854080,,,,,,,,,,,,,,,,,,,,78,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,25 de Mayo,Valdés,6854090,,,,,,,,,,,,,,,,,,,,35,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,9 de Julio,6588100,10.206,,,,,,9,,,,,,,198,,114,,,154,,,235,,98,,37,,,,,,,121,,,,15,,,,,,,,,,,4,,,,,,,,,,,,,,617,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Dudignac,6588040,,,,,,,,8,,,,,,25,,,247,,,46,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,,,,,,,,1,,,199,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Patricios,6588110,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,118,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,,,,,,,,,,,,,,793,,20,,,,,,103,,36,,,,,,,,,1.231,,,,,,,,,,,,,,,1,266,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Maza,6007070,10,,,2,,,,,,,,,,,,,,,386,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,,,,,,,,,,,,,,,,,,,,,,,,,,1.155,,,,,,,,,,,23,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,,,,,,,3,,,,,,,,,147,,,,,,,,447,,122,,,1,,,,1.045,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,,,,,,,,,,,,,,,,,632,,,,,7,,28,,45,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,,,,,,,,,,,,,,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,,,2,,,,4,,,,,40,,,7,,,,,116,,,,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Alberti,Mechita,6021030,,,,,,,,,,,,,,275,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Almirante Brown,Adrogué,6028010,,1,,10,1,,34,24,,,8,,,2,,63,7,,5,12,,,,37,,385,,,,,,,135,,,,6,,,,,,25,,,,,11.557,,,,,,,,,,,,,,639,,,,,,,928,,,,,,,225,,,
BUENOS AIRES,Almirante Brown,Burzaco,6028010,51,1,,9,1,,23,17,,,77,,,15,,34,115,,13,84,,,,30,,1.054,,,,,,,60,,,,3,,,,,,51,,,,,11.392,,,,,,,,,,,,,,390,,,,,,,4.171,,,,,,,829,,,
BUENOS AIRES,Almirante Brown,Claypole,6028010,,,,,,,2,7,,,,,,2,,3,,,1,40,,,,,,429,,,,,,,,,,,15,,,,,,22,,,,,4.113,,,,,,,,,,,,,,107,,,,,,,2.325,,,,,,,415,,,
BUENOS AIRES,Almirante Brown,Don Orione,6028010,,,,,,,,,,,,,,,,,,,1,,,,,,,377,,,,,,,,,,,,,,,,,27,,,,,3,,,,,,,,,,,,,,17,,,,,,,2.090,,,,,,,387,,,
BUENOS AIRES,Almirante Brown,Glew,6028010,1,,,5,,,7,5,,,15,,,5,,27,29,,3,12,,,,16,,315,,,,,,,8,,,,,,,,,,43,,,,,11.737,,,,,,,,,,,,,,172,,,,,,,2.894,,,,,,,710,,,
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,,,,,,,,1,,,,,,,,2,,,1,16,,,,3,,422,,,,,,,,,,,18,,,,,,26,,,,,1.383,,,,,,,,,,,,,,161,,,,,,,1.559,,,,,,,334,,,
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1,,,1,,,3,,,,,,,3,,21,,,5,1,,,,4,,599,,,,,,,4,,,,1,,,,,,26,,,,,7.433,,,,,,,,,,,,,,211,,,,,,,2.512,,,,,,,612,,,
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1,,,,,,,3,,,,,,,,,,,2,32,,,,,,136,,,,,,,,,,,3,,,,,,12,,,,,6,,,,,,,,,,,,,,88,,,,,,,1.652,,,,,,,296,,,
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,,,,,,,,,,,,,,,,2,,,3,,,,,,,278,,,,,,,,,,,,,,,,,11,,,,,4.094,,,,,,,,,,,,,,21,,,,,,,1.334,,,,,,,249,,,
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,,,,3,,,10,29,,,,,,99,,18,339,,11,59,,,,3,,635,,,,,,,9,,,,1,,,,,,22,,,,,9.969,,,,,,,,,,,,,,155,,,,,,,3.107,,,,,,,602,,,
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1,,,1,,,4,9,,,,,,40,,21,,,,114,,,,,,120,,,,,,,1,,,,13,,,,,,4,,,,,3.236,,,,,,,,,,,,,,21,,,,,,,1.539,,,,,,,260,,,
BUENOS AIRES,Almirante Brown,San Jose,6028010,,,,3,,,1,,,,,,,,,2,,,4,100,,,,,,472,,,,,,,,,,,56,,,,,,22,,,,,5,,,,,,,,,,,,,,58,,,,,,,3.458,,,,,,,644,,,
BUENOS AIRES,AMBA,OTROS,Sin Datos,0,,,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Arrecifes,Arrecifes,6077010,2,,,1,,,6,137,,,275,,,1.009,,165,449,,,67,,,,285,,9,,,,,,,450,,,,3.372,,,,,,,,,,,3,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,
BUENOS AIRES,Arrecifes,Todd,6077020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,
BUENOS AIRES,Arrecifes,Viña,6077030,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Avellaneda,Avellaneda,6035010,24,,,8,5,,43,43,,,1,,,33,,288,,,10,40,,,,397,,295,,,,,,,803,,,,69,,,,,,8,,,,,2.896,,,,,,,,,,,,,,2.634,,,,,,,712,,,,,,,188,,,
BUENOS AIRES,Avellaneda,Crucesita,6035010,,,,,,,1,1,,,,,,1,,6,,,4,18,,,,3,,174,,,,,,,1,,,,24,,,,,,8,,,,,12,,,,,,,,,,,,,,2.247,,,,,,,501,,,,,,,121,,,
BUENOS AIRES,Avellaneda,Dock Sud,6035010,2,,,1,,,5,6,,,,,,5,,,,,,269,,,,1,,58,,,,,,,,,,,270,,,,,23,1,,,,,4,,,,,,,,,,,,,,1.309,,,,,,,215,,,,,,,52,,,
BUENOS AIRES,Avellaneda,Gerli,6035010,,,,1,,,2,2,,,,,,,,1,,,,,,,,,,403,,,,,,,,,,,16,,,,,,14,,,,,6,,,,,,,,,,,,,,3.584,,,,,,,890,,,,,,,170,,,
BUENOS AIRES,Avellaneda,Pineyro,6035010,1,,,4,,,2,6,,,2,,,1,,4,,,8,,,,,2,,296,,,,,,,1,,,,14,,,,,,13,,,,,16,,,,,,,,1,,,,,,2.012,,,,,,,784,,,,,,,148,,,
BUENOS AIRES,Avellaneda,Sarandí,6035010,5,,,12,1,,35,5,,,4,,,2,,215,,,14,28,,,,128,,453,,,,,,,1.604,,,,86,,,,,,33,,,,,3.399,,,,,,,,,,,,,,6.612,,,,,,,1.407,,,,,,,278,,,
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,,,,5,,,8,14,,,18,,,142,,2,,,4,439,,,,3,,474,,,,,,,2,,,,71,,,,,,38,,,,,10,,,,,,,,,,,,,,5.662,,,,,,,1.993,,,,,,,377,,,
BUENOS AIRES,Avellaneda,Wilde,6035010,33,,,5,,,32,7,,,3,,,6,,116,,,9,39,,,,261,,645,,,,,,,1.663,,,,74,,,,,,33,,,,,3.083,,,,,,,,1,,,,,,8.030,,,,,,,1.956,,,,,,,406,,,
BUENOS AIRES,Ayacucho,Ayacucho,6042010,,,,,,,7,119,,,,,,,,109,,,,20,,,,752,,,,,,,,,1.202,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,La Constancia,6042020,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Solanet,6042030,,,,,,,,17,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Ayacucho,Udaquiola,6042040,,,,,1,,,31,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Azul,6049020,15,,,9,,,55,171,,,819,,,,,754,,,121,2,,,,951,,129,,,,,,,684,,,,13,,,,,,,,,,,15,,,,,,,,2,,,,,,1.409,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Cacharí,6049030,,,,,,,,,,,458,,,,,,,,56,5,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Azul,Chillar,6049040,,,,,1,,,,,,8,,,,,,545,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,39,2,,19,1,,184,152,,,84,,,323,,1.714,200,,349,427,,7,,2.857,1,446,,3,58,,2,3,1.264,3,2,,60,,1,,,,22,,,,,1.614,,,,,,,,4,,,,,,26.071,,,,,,59,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,6,,,,,,,,,,,,,,,,9,,1,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,,,,,,,2,,,,,,,,,24,,,,11,,,,48,,2,,,,,,,300,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Balcarce,6063010,9,,,,,,24,,,,98,,,,,310,,,,327,,,,795,,249,,,1,,,,611,,,,3,,,,,,,,,,,25,,,,,,,,,,,,,,1.754,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Los Pinos,6063020,5,,,,,,,,,,5,,,,,,,,,17,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Napaleofú,6063030,,,,,,,,38,,,,,,23,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Ramos Otero,6063040,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,San Agustín,6063050,24,,,,,,,,,,8,,,,,,,,,25,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,,,,,,,,,,,1,,,,,,,,,18,,,,1,,15,,,,,,,4,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Baradero,6070010,,,,1,,,,48,,,,,,1.001,,,,,1,604,,,,1,,770,,,,,,,66,,,,41,,,,,,,,,,,4,,,,,,,,,,,,,,492,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Irineo Portela,6070020,1,,,,,,,,,,,,,76,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Santa Coloma,6070030,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040,,,,,,,,,,,,,,153,,,,,,12,,,,,,85,,,,,,,18,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Barker,6084010,2,,,1,,,,20,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020,4,,,1,,,,,,,,,,,,59,,,,,,,,428,,59,,,1,,,,914,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,López,6084030,,,,,,,,,,,,,,12,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050,,,,1,,,,50,,,43,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Berazategui,Berazategui,6091010,17,,,11,,,22,26,,,2,,,5,,75,34,,5,29,,,,108,,637,,,,,,,1.422,,,,40,,,,,,31,,,,,6.361,,,,,,,,,,,,,,12.580,,,,,,,3.942,,,,,,,843,,,
BUENOS AIRES,Berazategui,Berazategui Oeste,6091010,,,,11,,,3,,,,,,,,,2,,,,54,,,,,,22,,,,,,,2,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,11.266,,,,,,,26,,,,,,,5,,,
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010,,,,,,,,,,,,,,,,2,,,1,,,,,7,,38,,,,,,,8,,,,,,,,,,4,,,,,190,,,,,,,,,,,,,,1.053,,,,,,,439,,,,,,,81,,,
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010,,,,,,,,8,,,5,,,3,,,2,,1.969,3,,,,,,68,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,15,,,,,,,659,,,,,,,84,,,
BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010,2,,,,,,4,1,,,1,,,2,,23,,,4,7,,,,31,,229,,,,,,,28,,,,15,,,,,,36,,,,,2.354,,,,,,,,,,,,,,5.149,,,,,,,1.391,,,,,,,349,,,
BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010,,,,,,,10,7,,,8,,,49,,77,,,,38,,,,97,,33,,,,,,,318,,,,29,,,,,,1,,,,,2,,,,,,,,,,,,,,2.215,,,,,,,473,,,,,,,65,,,
BUENOS AIRES,Berazategui,Pereyra,6091010,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,28,,,,,,,1,,,,,,,,,,
BUENOS AIRES,Berazategui,Plátanos,6091010,3,,,,,,,1,,,,,,,,,,,1,1,,,,,,55,,,,,,,,,,,7,,,,,,2,,,,,,,,,,,,,,,,,,,1.606,,,,,,,616,,,,,,,142,,,
BUENOS AIRES,Berazategui,Ranelagh,6091010,,,,1,,,7,4,,,,,,,,20,,,,42,,,,2,,93,,,,,,,8,,,,27,,,,,,5,,,,,5.756,,,,,,,,,,,,,,1.136,,,,,,,726,,,,,,,157,,,
BUENOS AIRES,Berazategui,Villa España,6091010,,,,1,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1.487,,,,,,,315,,,,,,,64,,,
BUENOS AIRES,Berisso,Barrio El Carmen (Este),6098010,170,,,,,,,,,,,,,,,,,,,28,,,,9,,3,,,,,,,115,,,,14,,,,,,,,,,,20,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
BUENOS AIRES,Berisso,Berisso,6098010,4,,,8,,,131,3,,,,,,4,,1.565,,,,275,,,,1.351,,46,,,88,,,,1.150,,,,25,,,,,,6.266,,,,,10,,,,,,,,,,,,,,1.386,,,,,,,,,,,,,,,,,
BUENOS AIRES,Berisso,Villa Arguello,6098010,172,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,,,115,,,,14,,,,,,,,,,,20,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
BUENOS AIRES,Berisso,Villa Nueva,6098010,172,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,,,115,,,,14,,,,,,,,,,,20,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
BUENOS AIRES,Berisso,Villa Progreso,6098010,167,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,,,116,,,,15,,,,,,,,,,,21,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,Hale,6105010,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,OTROS,Sin Datos,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,Pirovano,6105050,50,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060,1,,,,,,13,,,,,,,,,347,,,2,,,,,403,,22,,,,,,,462,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,468,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bolívar,Urdampilleta,6105070,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Bragado,6112010,,,,,,,15,1,,,93,,,125,,141,,,,,,,,232,,25,,,,,,,293,,,,2,,,,,,21,,,,,8,,,,,,,,,,,,,,562,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Comodoro Py,6112020,,,,,,,,,,,,,,154,,,,,,44,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
BUENOS AIRES,Bragado,General O'Brien,6112030,,,,,,,,,,,321,,,,,,83,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Irala,6112040,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070,,,,,,,,,,,,,,10,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Olascoaga,6112080,,,,,,,,,,,,,,21,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Bragado,Warnes,6112090,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050,3,,,,,,7,5,,,27,,,46,,311,1,,149,,,,,580,,638,,,,,112,,1.046,,,,13,,,,15,,,,,,,3,,,,,,,,924,,,,,,112,,,,,,,,,,,,,92,,,,
BUENOS AIRES,Brandsen,Jeppener,6119070,7,,,,,,,23,,,45,,,44,,,,,378,,,,,69,,110,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Campana,Alto Los Cardales,6126010,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Campana,Barrio Los Pioneros,6126020,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Campana,Campana,6126030,9,,,1,,,,123,,,2,,,265,,,,,7,433,,,,1,,1.182,,,,,,,160,,,,239,,,,,,915,,,,,37,,,,,,,,,,,,,,1.329,,,,,,,1.579,,,,,,,343,,,
BUENOS AIRES,Campana,Chacras Del Río Luján,6126035,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),6126040,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,1,,,
BUENOS AIRES,Cañuelas,Alejandro Petión,6134010,4,,,,,,16,,,,,,,,,106,,,,,,,,36,,41,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,30,,,,,,,25,,,
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,6134030,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
